candidate_turn_id,session_id_hash,student_id_hash,problem_id_hash,is_cp_related,is_substantial_turn,context_sufficiency,rough_bridge_family,surface_anchor,help_seeking_type,likely_slice,candidate_for_deep_annotation,exclusion_reason,privacy_review_status,consent_eligibility,candidate_selection_reason,screening_confidence,screened_by,notes
rs_screen_20260519_057,sess_60518e990a5a18ae,stu_e8d61ca1e8d38a6d,prob_19d6a797891845ab,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_scaffold_eval,yes,,passed,pending,coverage: rough_bridge_family=debugging_bridge; surface_anchor=debugging trace; help_seeking_type=debugging; one-per-session diversity for 30-case deep sample,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_058,sess_426632b37181aacf,stu_d8240700d7b4a573,prob_3b5a682d7bb8c38a,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_scaffold_eval,yes,,passed,pending,coverage: rough_bridge_family=debugging_bridge; surface_anchor=debugging trace; help_seeking_type=debugging; one-per-session diversity for 30-case deep sample,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_059,sess_b046091d92022244,stu_925ad19bad497ce0,prob_3b5a682d7bb8c38a,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,yes,,passed,pending,coverage: rough_bridge_family=implementation_bridge; surface_anchor=implementation boundary; help_seeking_type=implementation; one-per-session diversity for 30-case deep sample,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_060,sess_a15f8b285126fe12,stu_fdff3e566a4a4271,prob_19d6a797891845ab,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_061,sess_71599837539e332a,stu_2874c3bc5292937e,prob_3b5a682d7bb8c38a,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_062,sess_a15f8b285126fe12,stu_fdff3e566a4a4271,prob_19d6a797891845ab,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_063,sess_e3c2518924af3b24,stu_e8d61ca1e8d38a6d,prob_19d6a797891845ab,yes,yes,sufficient,debugging_bridge,debugging trace,debugging,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,high,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_064,sess_426632b37181aacf,stu_d8240700d7b4a573,prob_e893e49d29d156d7,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,no,not_selected_for_30_case_deep_sample,pending,pending,,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_065,sess_71599837539e332a,stu_2874c3bc5292937e,prob_3b5a682d7bb8c38a,yes,yes,sufficient,implementation_bridge,implementation boundary,implementation,main_scaffold_eval,yes,,passed,pending,coverage: rough_bridge_family=implementation_bridge; surface_anchor=implementation boundary; help_seeking_type=implementation; one-per-session diversity for 30-case deep sample,medium,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
rs_screen_20260519_066,sess_426632b37181aacf,stu_d8240700d7b4a573,prob_e893e49d29d156d7,yes,yes,sufficient,unclear,conceptual hint request,conceptual_hint,main_eval_with_caution,no,not_selected_for_30_case_deep_sample,pending,pending,,low,auto_screen_v1_20260519,Auto-filled from own online AIChat read-only database; screening labels require human review before reporting.
